
score,episode reward,running reward,episode frames,total frames,Q values
320,88,72.50746268656717,581,32648,12.23634
130,46,72.11764705882354,303,32951,12.512229
90,36,71.59420289855072,248,33199,12.489988
190,64,71.48571428571428,479,33678,12.227694
170,56,71.26760563380282,414,34092,12.559527
510,128,72.05555555555556,829,34921,12.361926
250,74,72.08219178082192,483,35404,12.598795
310,96,72.4054054054054,573,35977,12.515671
310,92,72.66666666666667,710,36687,12.342163
510,131,73.4342105263158,830,37517,12.329368
220,64,73.31168831168831,593,38110,12.40143
60,24,72.67948717948718,230,38340,12.47085
30,12,71.9113924050633,130,38470,12.1836405
240,80,72.0125,469,38939,12.450918
110,32,71.51851851851852,296,39235,12.5081
490,128,72.20731707317073,922,40157,12.533057
70,28,71.67469879518072,159,40316,12.697957
110,40,71.29761904761905,273,40589,13.014544
50,18,70.67058823529412,94,40683,12.972741
160,44,70.36046511627907,341,41024,12.829896
250,80,70.47126436781609,555,41579,12.930643
340,104,70.85227272727273,680,42259,13.007602
450,119,71.3932584269663,853,43112,12.98515
430,114,71.86666666666666,854,43966,12.857815
370,101,72.18681318681318,658,44624,12.928284
170,52,71.96739130434783,349,44973,12.857787
210,57,71.80645161290323,308,45281,12.818769
150,44,71.51063829787235,302,45583,12.796959
290,88,71.6842105263158,476,46059,12.977024
160,54,71.5,397,46456,12.9790325
180,64,71.42268041237114,413,46869,12.998116
150,44,71.14285714285714,369,47238,12.788208
190,56,70.98989898989899,527,47765,12.892458
370,108,71.36,594,48359,12.988995
290,81,71.73,636,48995,13.023637
280,80,72.09,466,49461,12.950352
610,146,72.75,1245,50706,13.274834
320,88,72.83,517,51223,13.47266
580,146,73.97,802,52025,13.527942
180,60,74.17,474,52499,13.316685
120,39,74.08,365,52864,13.525329
260,71,74.11,495,53359,13.501026
120,44,73.79,196,53555,13.866138
580,152,74.47,1105,54660,13.453867
110,32,74.3,358,55018,13.434502
470,116,74.98,1038,56056,13.314569
510,136,75.58,898,56954,13.374478
80,28,74.78,276,57230,13.333503
440,116,75.42,824,58054,13.400274
180,52,75.54,431,58485,13.606888
70,28,74.58,251,58736,13.415927
50,20,74.02,195,58931,13.402784
570,140,74.7,972,59903,13.490804
450,119,75.8,819,60722,13.591971
610,150,75.7,981,61703,13.747844
470,116,76.54,720,62423,13.608122
100,32,76.42,437,62860,13.831171
340,80,76.49,636,63496,13.681877
530,136,77.41,1119,64615,13.495892
250,72,77.71,455,65070,13.401473
100,32,77.19,240,65310,13.685714
180,56,77.27,374,65684,13.521007
650,164,77.91,1253,66937,13.574008
500,132,77.59,994,67931,13.47739
460,116,78.51,685,68616,13.327271
590,144,79.35,912,69528,13.474041
380,98,80.09,693,70221,13.440447
150,44,79.81,406,70627,13.629606
80,32,78.93,338,70965,13.629792
720,176,79.13,1279,72244,13.595573
340,92,79.81,583,72827,13.527058
550,148,80.93,1162,73989,13.495543
540,136,81.73,1075,75064,13.441677
450,116,81.69,728,75792,13.669822
180,53,80.98,275,76067,13.655625
320,92,80.22,547,76614,13.693284
150,48,80.48,289,76903,13.619023
340,100,79.8,494,77397,13.927361
220,72,80.08,516,77913,13.752212
670,168,81.52,1017,78930,13.739314
190,56,81.24,434,79364,13.808576
320,100,81.48,614,79978,13.745639
570,152,82.12,853,80831,14.057875
190,49,81.86,377,81208,14.009168
390,112,82.5,813,82021,14.018004
170,56,82.02,407,82428,14.133877
180,44,81.42,200,82628,14.125996
140,40,81.58,357,82985,14.012749
280,69,81.71,508,83493,13.976908
240,64,81.65,605,84098,14.174091
250,80,82.13,366,84464,14.089969
230,72,81.41,611,85075,13.939741
60,16,80.61,152,85227,14.078
160,44,80.89,330,85557,14.07751
50,20,80.57,239,85796,14.043659
560,142,81.63,841,86637,14.050049
320,86,81.52,442,87079,14.001699
180,62,80.69,509,87588,13.928694
520,129,81.34,734,88322,13.927452
340,91,81.49,644,88966,13.967005
150,40,81.01,478,89444,14.009253
60,24,80.79,205,89649,14.019392
150,44,80.87,369,90018,13.862228
280,76,80.99,475,90493,14.330293
210,64,81.07,532,91025,14.362656
260,76,80.55,373,91398,14.324234
330,88,80.69,687,92085,14.332574
40,16,79.89,96,92181,14.770985
550,142,80.39,977,93158,14.36089
210,57,79.65,476,93634,14.334446
170,51,79.52,447,94081,14.572777
390,104,80.32,515,94596,14.450454
280,80,81.0,481,95077,14.3694
480,124,81.44,1031,96108,14.548108
390,108,82.2,680,96788,14.510836
370,96,81.88,529,97317,14.553996
250,72,82.32,366,97683,14.641671
460,124,83.16,669,98352,14.471784
490,124,84.22,781,99133,14.603914
380,104,84.82,835,99968,14.616572
420,120,85.22,1036,101004,14.872199
110,42,84.6,452,101456,14.9393215
600,136,84.77,1057,102513,14.892947
150,48,84.11,254,102767,14.979579
450,116,84.26,649,103416,14.836705
910,232,86.06,1634,105050,14.856941
690,164,87.13,1307,106357,14.642331
370,108,87.77,580,106937,14.675224
130,48,87.37,336,107273,14.5933485
180,56,87.39,329,107602,14.529716
480,120,87.95,904,108506,14.639019
410,112,88.63,774,109280,14.503211
520,136,89.43,958,110238,14.650599
440,128,89.63,779,111017,14.794855
220,52,89.34,465,111482,14.832849
200,60,89.14,378,111860,15.066334
340,96,88.64,584,112444,14.943157
240,64,88.4,648,113092,14.64624
210,72,87.66,472,113564,14.8757515
260,84,87.9,477,114041,14.78549
290,88,88.39,522,114563,14.9059305
130,41,88.09,399,114962,14.697832
500,136,89.01,707,115669,14.643515
150,56,88.05,454,116123,14.668775
130,40,88.13,267,116390,14.513997
260,80,87.77,534,116924,14.577935
70,24,86.65,165,117089,14.762239
90,32,86.69,278,117367,14.619554
400,112,86.65,1002,118369,14.645682
490,124,87.37,894,119263,14.653466
60,24,87.33,194,119457,15.025882
460,120,88.33,784,120241,14.806746
480,127,88.2,892,121133,15.04883
380,108,88.09,836,121969,15.155283
200,55,87.14,390,122359,15.19961
240,72,86.7,530,122889,15.062091
290,88,87.26,663,123552,15.056325
110,36,86.82,307,123859,15.11007
460,108,86.54,692,124551,15.078671
60,16,85.98,107,124658,15.368564
300,82,86.48,587,125245,15.062076
460,120,87.12,670,125915,15.105639
50,20,85.68,142,126057,15.252624
280,72,85.08,559,126616,15.051632
770,188,85.8,1303,127919,15.178534
130,44,84.8,284,128203,15.1330805
50,20,84.02,140,128343,14.913606
190,52,84.1,412,128755,15.152455
370,96,84.74,751,129506,15.042841
370,112,84.1,678,130184,15.183092
110,36,83.54,249,130433,15.0613985
290,83,82.89,642,131075,15.1011
30,12,81.65,194,131269,15.013774
300,96,81.45,634,131903,15.061493
190,56,81.48,332,132235,14.918316
630,160,82.16,1111,133346,14.992127
50,20,81.88,137,133483,15.399911
600,148,82.36,787,134270,14.949866
170,44,82.08,203,134473,15.096209
180,44,80.84,364,134837,14.985884
320,84,81.12,490,135327,15.001086
300,88,81.0,719,136046,14.95836
190,60,80.08,474,136520,14.882477
190,56,80.15,412,136932,14.842714
430,112,80.15,798,137730,14.772877
160,47,80.06,387,138117,14.713664
680,169,81.31,1245,139362,14.673323
380,96,81.87,637,139999,14.775658
260,80,81.98,594,140593,14.879355
520,136,82.7,857,141450,15.110617
360,92,82.82,494,141944,14.957868
140,44,82.54,332,142276,15.083569
260,79,83.17,475,142751,14.8089905
280,72,83.45,330,143081,15.07467
330,92,84.17,541,143622,15.084176
570,144,84.19,858,144480,15.024245
140,39,83.72,283,144763,15.025325
250,76,83.86,594,145357,14.98644
450,120,83.77,884,146241,14.964489
300,76,83.62,642,146883,14.990992
200,60,83.82,462,147345,15.227681
620,164,85.22,966,148311,15.178503
610,148,86.26,1240,149551,15.247905
190,48,85.98,345,149896,15.161001
360,96,86.3,608,150504,15.229605
170,50,86.04,298,150802,15.45962
140,44,85.6,364,151166,15.441331
360,92,86.36,902,152068,15.403215
100,36,85.3,300,152368,15.315985
740,180,86.53,1190,153558,15.5121765
330,87,86.89,528,154086,15.599312
490,120,87.05,1367,155453,15.499128
60,22,86.47,89,155542,15.2389765
110,44,85.67,409,155951,15.44702
550,137,85.96,1166,157117,15.322056
680,168,86.68,1649,158766,15.374974
700,176,87.72,1460,160226,15.262995
380,92,87.4,908,161134,15.109863
290,84,87.0,628,161762,15.129026
130,44,86.4,409,162171,15.264285
120,32,85.52,200,162371,15.248801
280,76,85.86,610,162981,15.243997
180,56,85.06,429,163410,15.252752
370,92,85.5,902,164312,15.376698
170,55,84.89,384,164696,15.331105
270,76,83.33,588,165284,15.185424
100,28,81.97,269,165553,14.965461
20,8,80.97,148,165701,14.86535
770,188,82.37,1499,167200,15.116979
390,108,82.89,806,168006,15.1705475
440,116,82.85,889,168895,15.125896
400,107,82.8,976,169871,15.115398
210,72,82.16,563,170434,15.074861
460,121,82.09,934,171368,15.22846
240,68,82.25,668,172036,15.365227
110,36,82.01,307,172343,15.586971
250,68,81.73,475,172818,15.38536
370,98,82.07,712,173530,15.281854
130,40,81.75,319,173849,15.440802
390,107,81.98,974,174823,15.259116
310,78,81.88,584,175407,15.265865
130,36,81.83,277,175684,15.3312025
80,24,80.71,298,175982,15.318415
570,140,81.55,1249,177231,15.276659
320,80,81.95,770,178001,15.295932
120,39,81.54,363,178364,15.414734
460,116,82.46,951,179315,15.361868
210,52,82.66,516,179831,15.406269
30,8,81.62,232,180063,15.360149
340,92,81.3,871,180934,15.714152
430,110,82.16,1204,182138,15.728333
60,24,81.2,294,182432,15.724578
350,96,80.89,862,183294,15.6814
230,60,80.41,580,183874,15.598599
220,64,80.5,589,184463,15.535677
170,52,80.3,371,184834,15.537749
870,212,81.54,1987,186821,15.586427
720,116,82.34,894,187715,15.4452915
210,60,81.86,439,188154,15.421822
190,68,82.38,391,188545,15.391997
730,180,83.36,1220,189765,15.542584
750,136,83.52,1169,190934,15.649868
370,92,84.24,700,191634,15.760058
360,96,84.48,851,192485,15.854091
60,16,82.76,116,192601,15.844134
300,88,83.2,598,193199,15.79989
150,40,83.4,359,193558,15.733316
290,80,83.68,715,194273,15.713433
550,132,84.04,949,195222,15.735711
590,152,84.44,1074,196296,15.772876
160,40,84.48,275,196571,15.9385195
180,56,84.21,425,196996,15.746082
90,36,84.45,184,197180,15.978306
60,20,83.69,196,197376,15.815799
540,141,84.54,1047,198423,15.810151
300,77,83.71,616,199039,15.935087
90,32,83.83,408,199447,15.897451
220,64,82.99,479,199926,15.849806
330,84,83.39,588,200514,16.096895
460,117,84.12,712,201226,16.096893
120,32,83.6,317,201543,15.95149
320,81,83.53,575,202118,16.093636
770,188,84.81,1311,203429,15.981197
440,111,85.36,1145,204574,16.030064
500,133,85.57,982,205556,16.116655
120,36,85.46,288,205844,15.976961
310,80,84.57,748,206592,16.06799
360,96,84.57,878,207470,16.083128
480,124,85.01,949,208419,16.100626
200,52,84.17,401,208820,16.19534
80,32,83.57,191,209011,15.955085
210,64,83.77,455,209466,16.164692
120,36,83.34,212,209678,16.149464
190,52,83.14,358,210036,16.10303
470,116,83.38,836,210872,16.30622
190,60,82.54,474,211346,16.34708
120,41,82.56,378,211724,16.43277
450,116,82.96,925,212649,16.422865
220,56,82.32,583,213232,16.446236
300,84,82.4,524,213756,16.335314
240,84,82.64,522,214278,16.37342
410,112,82.12,947,215225,16.496908
420,102,81.66,832,216057,16.38208
450,120,82.38,818,216875,16.545855
460,111,82.53,1060,217935,16.484196
420,116,83.19,918,218853,16.421171
380,100,83.75,863,219716,16.51286
110,32,83.15,390,220106,16.629572
90,36,83.15,660,220766,16.771141
300,84,82.19,711,221477,16.584778
270,69,82.01,614,222091,16.655905
660,168,82.49,1129,223220,16.762789
90,32,82.59,232,223452,16.51736
90,32,82.47,246,223698,16.610239
100,36,81.46,238,223936,16.799585
320,80,80.58,712,224648,16.683216
580,151,80.33,1244,225892,16.740454
240,64,80.05,566,226458,16.634249
420,112,80.33,866,227324,16.647593
150,48,80.37,333,227657,16.601114
670,164,81.69,1447,229104,16.586859
320,80,81.73,698,229802,16.57629
100,32,81.49,213,230015,16.463734
490,114,81.71,1161,231176,16.4512
190,60,81.76,471,231647,16.316126
610,152,82.52,1391,233038,16.452644
160,56,82.8,356,233394,16.340881
340,92,83.64,593,233987,16.554993
450,105,82.81,682,234669,16.527817
350,100,82.73,941,235610,16.373245
470,116,82.73,1265,236875,16.535353
220,60,82.26,502,237377,16.53354
240,72,82.26,744,238121,16.437986
330,96,82.01,806,238927,16.456833
700,176,83.09,1282,240209,16.575764
1290,284,85.57,1819,242028,16.715218
1320,176,86.65,1371,243399,16.774134
240,72,86.39,572,243971,16.957119
390,104,87.03,855,244826,16.720682
410,116,87.12,685,245511,16.576612
400,104,87.38,910,246421,16.646458
440,120,88.22,809,247230,16.737099
370,100,88.98,843,248073,16.755796
270,76,88.34,452,248525,16.699003
570,148,89.02,836,249361,16.821476
200,52,89.15,421,249782,16.735867
80,24,88.23,272,250054,16.883102
90,32,88.03,232,250286,17.111107
160,52,88.47,430,250716,17.153353
250,72,88.27,543,251259,17.168386
80,32,87.49,287,251546,16.98692
600,151,88.76,1185,252731,16.994574
80,30,88.1,292,253023,17.06661
290,80,88.3,541,253564,16.87566
70,28,87.94,279,253843,17.17384
290,88,88.3,640,254483,16.959763
410,108,87.26,713,255196,16.945633
70,28,86.38,194,255390,16.729559
540,136,87.14,1370,256760,16.954542
370,100,87.46,786,257546,16.94456
240,72,86.38,538,258084,16.83505
320,96,85.98,716,258800,16.824621
260,60,85.66,577,259377,16.94484
250,65,85.35,375,259752,16.78331
220,71,85.9,364,260116,16.670324
200,56,85.58,426,260542,16.526028
420,112,86.3,661,261203,16.571583
700,168,87.18,1489,262692,16.592787
280,76,86.62,487,263179,16.700659
250,76,85.86,419,263598,16.411661
370,92,86.38,668,264266,16.491835
520,136,87.18,1057,265323,16.554546
360,92,87.74,785,266108,16.610113
270,68,88.22,583,266691,16.590984
310,76,87.57,785,267476,16.549204
180,52,87.32,426,267902,16.677292
170,48,87.48,452,268354,16.733475
370,104,87.88,635,268989,16.453863
30,12,87.16,181,269170,16.631384
560,132,87.31,1353,270523,16.47356
290,88,87.87,858,271381,16.419155
240,80,87.86,765,272146,16.362553
350,100,86.98,744,272890,16.435472
510,129,87.16,780,273670,16.463522
230,68,86.51,533,274203,16.470043
170,48,86.63,367,274570,16.298853
640,160,87.43,941,275511,16.419945
200,60,87.07,418,275929,16.45562
650,156,87.39,1524,277453,16.450422
60,16,87.03,191,277644,16.485924
150,44,87.15,475,278119,16.310972
430,108,87.59,1006,279125,16.397116
400,100,88.23,1040,280165,16.329376
300,96,88.67,606,280771,16.39844
530,132,88.83,1742,282513,16.54692
180,48,88.71,793,283306,16.32934
610,156,89.86,2011,285317,16.270336
130,36,89.06,324,285641,16.146143
590,149,89.99,1659,287300,16.16817
310,80,89.95,1330,288630,16.034294
500,128,90.39,1404,290034,16.015654
600,152,90.79,1747,291781,16.3014
170,44,90.21,622,292403,16.28625
380,100,90.01,835,293238,16.27053
510,124,90.14,1487,294725,16.380833
280,73,89.71,983,295708,16.404709
380,90,89.61,1249,296957,16.307526
350,88,90.17,1102,298059,16.375769
440,114,90.95,1426,299485,16.397726
770,184,91.95,2007,301492,16.4711
600,148,92.74,1478,302970,16.482403
70,20,91.26,143,303113,16.558516
100,32,91.26,476,303589,16.456133
440,115,92.09,912,304501,16.36883
220,68,92.41,550,305051,16.50833
60,24,91.85,353,305404,16.577835
490,120,91.54,1392,306796,16.456068
630,164,92.54,1181,307977,16.51421
520,132,92.74,1343,309320,16.635782
300,100,93.26,648,309968,16.650574
600,154,93.16,956,310924,16.680288
570,156,93.92,1315,312239,16.69385
380,112,94.72,1113,313352,16.749277
140,45,94.03,233,313585,16.987503
270,68,94.11,462,314047,16.791077
210,60,93.19,713,314760,16.95643
630,153,94.16,1412,316172,16.956244
300,85,94.09,687,316859,16.855244
320,80,93.84,934,317793,16.929014
420,111,93.95,909,318702,16.922209
140,40,93.19,498,319200,16.95863
430,120,93.79,1179,320379,16.813293
170,43,93.5,321,320700,16.86106
290,82,93.36,542,321242,16.921202
410,112,92.72,942,322184,16.845257
580,148,91.36,884,323068,16.830091
140,44,90.04,304,323372,16.816233
280,71,90.03,688,324060,16.737103
600,156,90.55,1273,325333,16.724398
510,132,90.71,1414,326747,16.69243
620,160,91.27,1289,328036,16.735912
370,99,91.06,871,328907,16.822279
410,104,91.1,1165,330072,16.772614
320,84,91.18,630,330702,16.807667
90,24,89.94,185,330887,16.800709
660,168,91.1,1511,332398,16.74334
310,88,91.74,604,333002,16.735207
170,52,91.94,463,333465,16.710163
400,112,92.54,802,334267,16.722101
440,124,93.06,703,334970,16.786392
540,134,94.08,1158,336128,16.935335
440,108,93.65,862,336990,16.771389
140,40,93.75,450,337440,16.774294
820,196,94.91,1653,339093,16.82916
300,80,95.43,1084,340177,16.83692
170,56,95.11,423,340600,17.027136
400,104,95.07,845,341445,17.048569
20,8,94.87,145,341590,17.014359
140,36,93.87,300,341890,17.184145
200,60,93.47,385,342275,17.032013
240,64,93.39,553,342828,17.043152
110,36,92.79,435,343263,17.104944
120,35,92.54,353,343616,17.024477
540,144,93.33,1120,344736,17.121557
490,128,93.9,877,345613,17.06944
690,176,95.1,1223,346836,17.058376
500,134,95.32,1004,347840,17.053066
120,44,94.08,334,348174,16.969555
410,112,94.44,661,348835,17.093307
100,32,94.0,479,349314,17.027914
400,100,94.08,840,350154,17.252714
130,48,93.2,293,350447,17.553934
590,156,93.84,1179,351626,17.416975
350,99,94.15,906,352532,17.579344
670,168,95.07,1279,353811,17.539915
210,68,95.23,567,354378,17.573677
280,78,95.53,719,355097,17.509762
620,156,96.05,1108,356205,17.66831
320,88,96.81,592,356797,17.584282
300,84,96.33,755,357552,17.661716
130,28,95.73,303,357855,17.621275
120,40,95.33,463,358318,17.577387
610,152,95.85,1362,359680,17.50847
510,136,95.92,884,360564,17.444494
260,80,96.04,644,361208,17.454872
470,128,96.84,729,361937,17.535482
310,95,96.19,795,362732,17.514029
260,72,96.31,618,363350,17.58791
650,168,96.43,1400,364750,17.529623
510,136,97.63,986,365736,17.501896
250,88,98.07,525,366261,17.359278
90,28,97.27,420,366681,17.506706
160,56,96.83,369,367050,17.450857
110,40,96.27,382,367432,17.276327
60,16,95.11,170,367602,17.514988
220,68,95.31,391,367993,17.202618
370,108,94.83,833,368826,17.378454
50,16,94.63,138,368964,17.2996
370,96,94.1,612,369576,17.419527
50,20,93.5,161,369737,17.303162
390,100,93.22,720,370457,17.513699
90,32,92.02,138,370595,17.694672
180,55,92.13,515,371110,17.785475
410,116,92.29,891,372001,17.73636
310,91,91.96,666,372667,17.73699
550,144,92.67,1018,373685,17.66716
150,56,92.33,479,374164,17.644897
360,94,92.39,717,374881,17.6792
230,72,91.97,491,375372,17.772268
510,136,91.49,1142,376514,17.855791
300,84,90.85,605,377119,17.916647
360,104,91.69,942,378061,17.703054
470,114,92.51,944,379005,17.66052
110,36,91.72,278,379283,17.730192
130,44,91.48,290,379573,17.589756
110,40,91.64,245,379818,17.686747
50,20,90.64,186,380004,17.729578
310,88,89.88,677,380681,18.011652
130,40,88.96,346,381027,17.936972
400,112,89.08,850,381877,18.068007
80,20,87.74,207,382084,18.050886
190,64,86.82,431,382515,17.997034
320,96,86.66,829,383344,17.939226
480,120,87.41,1542,384886,17.813435
510,136,88.09,1613,386499,17.777912
210,52,88.01,382,386881,17.708645
260,68,87.16,610,387491,17.674189
380,100,87.31,937,388428,17.479149
320,92,87.43,1125,389553,17.636787
340,94,87.26,1050,390603,17.589113
350,100,87.86,664,391267,17.697552
170,56,87.22,542,391809,17.42701
240,64,87.43,899,392708,17.56409
280,80,87.41,318,393026,17.523499
380,100,87.29,813,393839,17.473091
390,108,86.89,872,394711,17.627687
220,68,87.13,575,395286,17.637585
430,112,87.54,1191,396477,17.61779
160,48,86.46,353,396830,17.728954
150,52,85.66,438,397268,17.787432
400,108,85.14,1415,398683,17.634604
410,106,85.21,1456,400139,17.77918
670,172,85.89,1467,401606,17.591143
240,64,85.69,660,402266,17.670574
90,20,85.65,178,402444,17.803434
140,48,84.45,371,402815,17.609283
260,84,84.41,941,403756,17.737967
590,154,85.43,1286,405042,17.773127
80,24,84.55,177,405219,17.659018
670,165,84.96,1314,406533,17.755371
370,91,84.53,801,407334,17.648375
440,112,84.57,956,408290,17.883415
220,64,84.81,607,408897,17.72162
440,120,84.05,1494,410391,17.59071
280,80,84.05,735,411126,17.677446
460,124,84.73,1203,412329,17.77877
220,72,84.41,314,412643,17.744827
490,120,85.53,1261,413904,17.69979
410,104,86.21,1162,415066,17.634224
520,128,86.89,1576,416642,17.699848
260,71,86.96,788,417430,17.670689
420,112,87.72,1186,418616,17.63719
90,27,87.64,175,418791,17.562029
310,84,87.04,1133,419924,17.471186
320,96,86.72,898,420822,17.442623
170,56,85.52,344,421166,17.54929
260,76,84.94,952,422118,17.510054
60,24,84.74,161,422279,17.443954
580,148,85.1,1286,423565,17.590572
210,60,85.38,459,424024,17.643955
330,82,85.2,758,424782,17.440332
400,108,85.8,760,425542,17.614195
390,108,85.32,877,426419,17.68315
530,136,85.69,1329,427748,17.625597
180,48,84.49,369,428117,17.912813
170,64,84.45,628,428745,17.665497
200,55,84.22,479,429224,17.828175
140,44,83.1,353,429577,17.650713
700,176,83.98,1691,431268,17.957582
340,88,84.02,613,431881,18.096354
240,64,84.38,656,432537,18.0446
150,56,84.54,565,433102,18.109554
170,52,83.54,290,433392,17.848925
310,88,83.06,781,434173,17.997736
200,56,82.82,749,434922,18.050941
480,124,82.78,1115,436037,17.951878
380,98,82.81,653,436690,18.057915
100,32,82.41,326,437016,18.069075
130,48,81.21,417,437433,18.145386
240,84,80.69,554,437987,18.259516
210,68,80.49,546,438533,18.196728
320,96,81.17,783,439316,18.223793
120,44,81.05,320,439636,18.149588
620,156,82.21,1580,441216,18.338167
340,90,82.95,873,442089,18.3318
130,27,82.54,291,442380,18.235588
110,36,81.82,309,442689,18.34234
70,24,81.9,143,442832,18.146633
520,124,82.18,1339,444171,18.23095
420,104,83.02,1412,445583,18.2114
380,100,83.02,1206,446789,18.103855
170,48,83.18,358,447147,18.087759
450,108,83.71,1498,448645,18.074799
160,44,82.99,382,449027,17.95124
520,136,83.44,998,450025,17.813799
630,156,83.56,1168,451193,17.791294
170,52,83.52,535,451728,17.689936
380,100,83.58,728,452456,17.79398
320,100,83.86,965,453421,17.674948
130,45,82.95,299,453720,17.746735
380,100,83.11,831,454551,17.923977
370,108,83.15,775,455326,17.72686
280,84,82.85,496,455822,17.876863
110,44,82.93,361,456183,18.055038
130,37,82.86,295,456478,17.935223
440,108,83.54,676,457154,17.995583
430,116,84.5,732,457886,18.11342
480,128,84.9,860,458746,18.265368
160,40,84.9,389,459135,18.105547
630,153,85.31,1363,460498,18.124052
720,180,86.91,1539,462037,18.43021
560,140,87.67,1384,463421,18.552113
310,88,87.59,617,464038,18.425638
410,104,87.43,1051,465089,18.569328
240,64,86.71,520,465609,18.548069
300,80,86.99,841,466450,18.436787
550,148,87.79,1131,467581,18.375282
400,100,87.79,942,468523,18.33208
440,112,87.99,863,469386,18.255413
380,96,88.01,677,470063,18.337782
180,53,87.54,424,470487,18.115654
500,128,88.26,860,471347,18.118294
600,149,89.11,1191,472538,18.214594
490,136,89.67,879,473417,18.219557
660,164,90.31,1289,474706,18.275658
520,124,90.47,1354,476060,18.24876
750,184,91.63,1631,477691,18.221046
500,132,91.83,1587,479278,18.175657
300,88,92.23,994,480272,18.36996
440,118,92.89,1095,481367,18.353525
270,88,92.69,515,481882,18.38238
10,4,91.67,50,481932,18.677269
170,64,90.59,366,482298,18.562414
230,72,90.67,449,482747,18.45265
210,64,91.11,537,483284,18.385319
370,100,91.63,656,483940,18.426311
360,96,91.75,695,484635,18.483614
310,80,91.01,576,485211,18.258495
250,76,91.53,474,485685,18.443583
440,116,91.04,679,486364,18.330282
690,176,91.89,1120,487484,18.512455
480,124,92.01,861,488345,18.583097
530,132,92.69,1416,489761,18.488455
580,152,93.01,1433,491194,18.640612
170,52,92.73,355,491549,18.74415
170,56,92.05,300,491849,18.790445
100,31,91.64,138,491987,19.0349
210,60,91.04,372,492359,18.815128
190,64,90.64,479,492838,18.876606
100,28,89.64,291,493129,18.742483
370,96,89.89,867,493996,18.841951
280,69,89.46,404,494400,18.831232
480,128,90.47,1352,495752,18.776873
210,56,90.19,802,496554,18.701878
540,134,90.57,1302,497856,18.653507
40,16,90.17,192,498048,18.440683
420,114,90.55,1069,499117,18.536736
360,88,91.19,953,500070,18.467266
50,20,89.91,199,500269,18.724165
520,136,90.67,994,501263,18.468517
140,43,90.28,441,501704,18.595114
250,76,89.96,665,502369,18.629105
290,72,89.6,459,502828,18.476538
220,60,88.84,457,503285,18.552687
100,36,88.72,326,503611,18.588459
540,143,89.51,1333,504944,18.617378
320,92,89.88,678,505622,18.445618
600,156,91.0,1598,507220,18.512556
70,27,89.51,275,507495,18.52131
340,95,89.58,866,508361,18.651442
70,20,89.14,259,508620,18.562569
160,48,89.06,457,509077,18.68638
